angulo_deg,p_tx_sat_dbm,slant_km,fspl_db,gt_dbi,irss_teorico_dbm
10,43,1719.01,156.109,30.0,-90.109
10,40,1719.01,156.109,30.0,-93.109
10,37,1719.01,156.109,30.0,-96.109
10,34,1719.01,156.109,30.0,-99.109
10,31,1719.01,156.109,30.0,-102.109
10,28,1719.01,156.109,30.0,-105.109
10,25,1719.01,156.109,30.0,-108.109
10,22,1719.01,156.109,30.0,-111.109
10,19,1719.01,156.109,30.0,-114.109
10,16,1719.01,156.109,30.0,-117.109
10,13,1719.01,156.109,30.0,-120.109
10,10,1719.01,156.109,30.0,-123.109
10,7,1719.01,156.109,30.0,-126.109
10,4,1719.01,156.109,30.0,-129.109
10,1,1719.01,156.109,30.0,-132.109
20,43,1213.129,153.082,26.25,-90.832
20,40,1213.129,153.082,26.25,-93.832
20,37,1213.129,153.082,26.25,-96.832
20,34,1213.129,153.082,26.25,-99.832
20,31,1213.129,153.082,26.25,-102.832
20,28,1213.129,153.082,26.25,-105.832
20,25,1213.129,153.082,26.25,-108.832
20,22,1213.129,153.082,26.25,-111.832
20,19,1213.129,153.082,26.25,-114.832
20,16,1213.129,153.082,26.25,-117.832
20,13,1213.129,153.082,26.25,-120.832
20,10,1213.129,153.082,26.25,-123.832
20,7,1213.129,153.082,26.25,-126.832
20,4,1213.129,153.082,26.25,-129.832
20,1,1213.129,153.082,26.25,-132.832
30,43,926.182,150.738,22.5,-92.238
30,40,926.182,150.738,22.5,-95.238
30,37,926.182,150.738,22.5,-98.238
30,34,926.182,150.738,22.5,-101.238
30,31,926.182,150.738,22.5,-104.238
30,28,926.182,150.738,22.5,-107.238
30,25,926.182,150.738,22.5,-110.238
30,22,926.182,150.738,22.5,-113.238
30,19,926.182,150.738,22.5,-116.238
30,16,926.182,150.738,22.5,-119.238
30,13,926.182,150.738,22.5,-122.238
30,10,926.182,150.738,22.5,-125.238
30,7,926.182,150.738,22.5,-128.238
30,4,926.182,150.738,22.5,-131.238
30,1,926.182,150.738,22.5,-134.238
40,43,755.489,148.968,18.75,-94.218
40,40,755.489,148.968,18.75,-97.218
40,37,755.489,148.968,18.75,-100.218
40,34,755.489,148.968,18.75,-103.218
40,31,755.489,148.968,18.75,-106.218
40,28,755.489,148.968,18.75,-109.218
40,25,755.489,148.968,18.75,-112.218
40,22,755.489,148.968,18.75,-115.218
40,19,755.489,148.968,18.75,-118.218
40,16,755.489,148.968,18.75,-121.218
40,13,755.489,148.968,18.75,-124.218
40,10,755.489,148.968,18.75,-127.218
40,7,755.489,148.968,18.75,-130.218
40,4,755.489,148.968,18.75,-133.218
40,1,755.489,148.968,18.75,-136.218
50,43,649.223,147.651,15.0,-96.651
50,40,649.223,147.651,15.0,-99.651
50,37,649.223,147.651,15.0,-102.651
50,34,649.223,147.651,15.0,-105.651
50,31,649.223,147.651,15.0,-108.651
50,28,649.223,147.651,15.0,-111.651
50,25,649.223,147.651,15.0,-114.651
50,22,649.223,147.651,15.0,-117.651
50,19,649.223,147.651,15.0,-120.651
50,16,649.223,147.651,15.0,-123.651
50,13,649.223,147.651,15.0,-126.651
50,10,649.223,147.651,15.0,-129.651
50,7,649.223,147.651,15.0,-132.651
50,4,649.223,147.651,15.0,-135.651
50,1,649.223,147.651,15.0,-138.651
60,43,581.794,146.699,11.25,-99.449
60,40,581.794,146.699,11.25,-102.449
60,37,581.794,146.699,11.25,-105.449
60,34,581.794,146.699,11.25,-108.449
60,31,581.794,146.699,11.25,-111.449
60,28,581.794,146.699,11.25,-114.449
60,25,581.794,146.699,11.25,-117.449
60,22,581.794,146.699,11.25,-120.449
60,19,581.794,146.699,11.25,-123.449
60,16,581.794,146.699,11.25,-126.449
60,13,581.794,146.699,11.25,-129.449
60,10,581.794,146.699,11.25,-132.449
60,7,581.794,146.699,11.25,-135.449
60,4,581.794,146.699,11.25,-138.449
60,1,581.794,146.699,11.25,-141.449
70,43,540.092,146.053,7.5,-102.553
70,40,540.092,146.053,7.5,-105.553
70,37,540.092,146.053,7.5,-108.553
70,34,540.092,146.053,7.5,-111.553
70,31,540.092,146.053,7.5,-114.553
70,28,540.092,146.053,7.5,-117.553
70,25,540.092,146.053,7.5,-120.553
70,22,540.092,146.053,7.5,-123.553
70,19,540.092,146.053,7.5,-126.553
70,16,540.092,146.053,7.5,-129.553
70,13,540.092,146.053,7.5,-132.553
70,10,540.092,146.053,7.5,-135.553
70,7,540.092,146.053,7.5,-138.553
70,4,540.092,146.053,7.5,-141.553
70,1,540.092,146.053,7.5,-144.553
80,43,517.272,145.678,3.75,-105.928
80,40,517.272,145.678,3.75,-108.928
80,37,517.272,145.678,3.75,-111.928
80,34,517.272,145.678,3.75,-114.928
80,31,517.272,145.678,3.75,-117.928
80,28,517.272,145.678,3.75,-120.928
80,25,517.272,145.678,3.75,-123.928
80,22,517.272,145.678,3.75,-126.928
80,19,517.272,145.678,3.75,-129.928
80,16,517.272,145.678,3.75,-132.928
80,13,517.272,145.678,3.75,-135.928
80,10,517.272,145.678,3.75,-138.928
80,7,517.272,145.678,3.75,-141.928
80,4,517.272,145.678,3.75,-144.928
80,1,517.272,145.678,3.75,-147.928
90,43,510.0,145.555,0.0,-109.555
90,40,510.0,145.555,0.0,-112.555
90,37,510.0,145.555,0.0,-115.555
90,34,510.0,145.555,0.0,-118.555
90,31,510.0,145.555,0.0,-121.555
90,28,510.0,145.555,0.0,-124.555
90,25,510.0,145.555,0.0,-127.555
90,22,510.0,145.555,0.0,-130.555
90,19,510.0,145.555,0.0,-133.555
90,16,510.0,145.555,0.0,-136.555
90,13,510.0,145.555,0.0,-139.555
90,10,510.0,145.555,0.0,-142.555
90,7,510.0,145.555,0.0,-145.555
90,4,510.0,145.555,0.0,-148.555
90,1,510.0,145.555,0.0,-151.555
