ptx_sat_dbm,slant_km,fspl_db,gt_dbi,perdida_atm_db,I_teorico_dbm,I_SHARC_P619_dbm,IN_teorico_db,IN_SHARC_db,cumple_SHARC
43,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-90.10914284445215,-90.2779294292911,8.890857155547849,8.722070570708894,NO
40,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-93.10914284445215,-93.2779294292911,5.890857155547849,5.722070570708894,NO
37,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-96.10914284445215,-96.2779294292911,2.890857155547849,2.722070570708894,NO
34,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-99.10914284445215,-99.2779294292911,-0.10914284445215117,-0.2779294292911061,NO
31,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-102.10914284445215,-102.2779294292911,-3.109142844452151,-3.277929429291106,NO
28,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-105.10914284445215,-105.2779294292911,-6.109142844452151,-6.277929429291106,OK
25,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-108.10914284445215,-108.2779294292911,-9.109142844452151,-9.277929429291106,OK
22,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-111.10914284445215,-111.2779294292911,-12.109142844452151,-12.277929429291106,OK
19,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-114.10914284445215,-114.2779294292911,-15.109142844452151,-15.277929429291106,OK
16,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-117.10914284445215,-117.2779294292911,-18.10914284445215,-18.277929429291106,OK
13,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-120.10914284445215,-120.2779294292911,-21.10914284445215,-21.277929429291106,OK
10,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-123.10914284445215,-123.2779294292911,-24.10914284445215,-24.277929429291106,OK
7,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-126.10914284445215,-126.2779294292911,-27.10914284445215,-27.277929429291106,OK
4,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-129.10914284445215,-129.2779294292911,-30.10914284445215,-30.277929429291106,OK
1,1719.0099967115166,156.10914284445215,30.0,0.1687865848389439,-132.10914284445215,-132.2779294292911,-33.10914284445215,-33.277929429291106,OK
