theta_deg,ptx_sat_dbm,slant_km,fspl_db,gt_dbi,perdida_atm_db,I_teorico_dbm,I_SHARC_P619_dbm,IN_db,INI_db,CI_db,CNI_db
10,43,1719.01,156.121,30.0,0.1689,-90.121,-90.29,8.71,-0.548,15.99,15.442
10,40,1719.01,156.121,30.0,0.1689,-93.121,-93.29,5.71,-1.033,18.99,17.957
10,37,1719.01,156.121,30.0,0.1689,-96.121,-96.29,2.71,-1.863,21.99,20.127
10,34,1719.01,156.121,30.0,0.1689,-99.121,-99.29,-0.29,-3.158,24.99,21.832
10,31,1719.01,156.121,30.0,0.1689,-102.121,-102.29,-3.29,-4.96,27.99,23.03
10,28,1719.01,156.121,30.0,0.1689,-105.121,-105.29,-6.29,-7.207,30.99,23.784
10,25,1719.01,156.121,30.0,0.1689,-108.121,-108.29,-9.29,-9.774,33.99,24.217
10,22,1719.01,156.121,30.0,0.1689,-111.121,-111.29,-12.29,-12.539,36.99,24.451
10,19,1719.01,156.121,30.0,0.1689,-114.121,-114.29,-15.29,-15.417,39.99,24.573
10,16,1719.01,156.121,30.0,0.1689,-117.121,-117.29,-18.29,-18.354,42.99,24.636
10,13,1719.01,156.121,30.0,0.1689,-120.121,-120.29,-21.29,-21.322,45.99,24.668
10,10,1719.01,156.121,30.0,0.1689,-123.121,-123.29,-24.29,-24.306,48.99,24.684
10,7,1719.01,156.121,30.0,0.1689,-126.121,-126.29,-27.29,-27.298,51.99,24.692
10,4,1719.01,156.121,30.0,0.1689,-129.121,-129.29,-30.29,-30.294,54.99,24.696
10,1,1719.01,156.121,30.0,0.1689,-132.121,-132.29,-33.29,-33.292,57.99,24.698
20,43,1213.129,153.094,26.25,0.087,-90.844,-90.931,8.069,-0.63,16.631,16.001
20,40,1213.129,153.094,26.25,0.087,-93.844,-93.931,5.069,-1.177,19.631,18.454
20,37,1213.129,153.094,26.25,0.087,-96.844,-96.931,2.069,-2.098,22.631,20.533
20,34,1213.129,153.094,26.25,0.087,-99.844,-99.931,-0.931,-3.501,25.631,22.13
20,31,1213.129,153.094,26.25,0.087,-102.844,-102.931,-3.931,-5.406,28.631,23.225
20,28,1213.129,153.094,26.25,0.087,-105.844,-105.931,-6.931,-7.733,31.631,23.898
